MeterID,Zone,ConsumerType,Date,EnergyConsumed_kWh,PeakUsage_kWh,OutageMinutes,MeterStatus,TariffRate
MTR0001,East,Residential,11/24/2025,3108.34,301.44,145,Faulty,7.75
MTR0002,West,Residential,2/27/2025,4351.08,261.91,154,Active,7.42
MTR0003,Central,Industrial,1/13/2025,2874.52,118.59,54,Active,4.89
MTR0004,West,Commercial,5/21/2025,200.42,12.47,119,Active,4.74
MTR0005,West,Residential,5/6/2025,4658.2,104.94,74,Active,9.59
MTR0006,South,Industrial,4/25/2025,3463.16,173.03,20,Faulty,5.09
MTR0007,Central,Commercial,3/13/2025,3398.74,225.54,171,Active,8.43
MTR0008,Central,Residential,2/22/2025,1117.59,60.35,132,Faulty,5.75
MTR0009,Central,Commercial,12/13/2025,3311.48,152.86,86,Faulty,3.97
MTR0010,West,Industrial,10/7/2025,1999.63,198.86,168,Faulty,3.08
MTR0011,East,Residential,2/14/2025,3273.6,292.1,58,Active,6.81
MTR0012,Central,Commercial,10/30/2025,577.64,38.19,88,Faulty,9.83
MTR0013,West,Residential,8/5/2025,3306.33,202.49,149,Active,5.58
MTR0014,South,Commercial,1/17/2025,4997.1,329.11,82,Active,5.5
MTR0015,East,Industrial,1/16/2025,288.65,8.12,64,Active,5.41
MTR0016,South,Industrial,2/17/2025,4887.01,222.66,63,Faulty,6.64
MTR0017,East,Residential,4/22/2025,2064.19,27.97,70,Active,6.08
MTR0018,West,Commercial,4/30/2025,4360.23,230.22,3,Active,9.16
MTR0019,North,Residential,9/16/2025,3922.81,230.94,142,Active,6.54
MTR0020,East,Residential,11/5/2025,2856.73,87.12,103,Faulty,6.55
MTR0021,South,Commercial,1/14/2025,3705.32,358.54,149,Faulty,3.97
MTR0022,West,Commercial,10/15/2025,4398.65,404.02,174,Faulty,9.88
MTR0023,East,Commercial,4/12/2025,2050.49,153.77,92,Active,4.75
MTR0024,North,Industrial,11/29/2025,1668.81,96.8,173,Faulty,3.51
MTR0025,North,Residential,12/26/2025,3354.59,296.2,141,Active,7.64
MTR0026,Central,Residential,10/7/2025,4048.84,88.1,177,Active,7.17
MTR0027,Central,Industrial,8/3/2025,3823.31,310.25,147,Faulty,5.91
MTR0028,South,Commercial,4/23/2025,3999.18,84.92,177,Active,5.96
MTR0029,East,Industrial,8/18/2025,2206.14,179.75,111,Faulty,8.5
MTR0030,East,Industrial,10/29/2025,4098.28,142.7,160,Active,4.37
MTR0031,Central,Industrial,5/23/2025,645.03,57.37,118,Faulty,8.74
MTR0032,East,Residential,1/4/2025,2745.22,260.7,58,Active,7.54
MTR0033,East,Industrial,3/23/2025,78.51,1.84,42,Active,5.93
MTR0034,North,Residential,12/24/2025,1656.7,85.55,11,Active,6.21
MTR0035,Central,Residential,8/5/2025,1863.98,183.21,39,Active,4.8
MTR0036,West,Residential,6/24/2025,2011.05,107.6,117,Active,8.26
MTR0037,Central,Commercial,5/23/2025,3492.56,306.36,19,Faulty,6.59
MTR0038,West,Residential,3/21/2025,1973.36,124.29,165,Active,5.25
MTR0039,North,Residential,4/21/2025,2271.03,99.42,130,Faulty,7.17
MTR0040,South,Commercial,6/22/2025,1225.84,43.79,155,Faulty,9.97
MTR0041,East,Residential,2/22/2025,1897.6,53.68,89,Faulty,6.05
MTR0042,North,Industrial,2/17/2025,1174.98,92.31,93,Active,9.44
MTR0043,East,Industrial,7/14/2025,412.32,18.47,12,Active,5.42
MTR0044,South,Residential,2/19/2025,3037.07,170.12,65,Active,3.38
MTR0045,South,Commercial,7/3/2025,3357.65,182.35,36,Faulty,4.43
MTR0046,North,Industrial,6/26/2025,3116.48,193.08,176,Active,5.93
MTR0047,South,Commercial,11/6/2025,2344.3,206.07,65,Active,4.54
MTR0048,West,Commercial,5/16/2025,1929.94,189.65,35,Faulty,3
MTR0049,South,Industrial,1/23/2025,4323.5,201.83,25,Faulty,9.41
MTR0050,East,Commercial,8/24/2025,2619.45,221.28,74,Faulty,8.91
MTR0051,East,Industrial,10/2/2025,2421.95,190.87,107,Faulty,8.2
MTR0052,East,Commercial,3/5/2025,176.93,10.9,167,Faulty,4.17
MTR0053,East,Industrial,7/13/2025,1739.18,167.04,42,Faulty,3.84
MTR0054,West,Residential,2/10/2025,1931.97,54.18,149,Active,3.47
MTR0055,Central,Industrial,10/10/2025,2024.17,40.15,147,Faulty,8.07
MTR0056,North,Industrial,5/31/2025,2921.85,253.78,7,Active,9.5
MTR0057,East,Industrial,11/18/2025,2691.33,133.28,28,Active,6.01
MTR0058,South,Industrial,11/13/2025,3059.13,263.78,39,Active,3.83
MTR0059,East,Commercial,7/5/2025,3836.17,346.71,157,Faulty,6.59
MTR0060,South,Residential,10/23/2025,4074.28,63.65,127,Active,5.44
MTR0061,South,Industrial,4/9/2025,3604.71,322.66,83,Faulty,5.62
MTR0062,East,Commercial,12/27/2025,4779.84,240.66,115,Faulty,7.35
MTR0063,West,Residential,2/5/2025,140.25,7.85,143,Active,8.03
MTR0064,South,Residential,1/24/2025,1019.1,67.66,173,Faulty,3.77
MTR0065,South,Residential,12/5/2025,87.44,8.16,61,Active,3.25
MTR0066,East,Residential,4/27/2025,3255,38.15,6,Active,9.96
MTR0067,South,Industrial,5/29/2025,4495.25,237.87,44,Faulty,4.63
MTR0068,South,Industrial,2/10/2025,1255.24,90.25,175,Active,3.38
MTR0069,East,Commercial,4/30/2025,4638.82,348.11,154,Active,4.33
MTR0070,East,Commercial,2/21/2025,348.32,25.19,180,Active,3.27
MTR0071,North,Commercial,7/14/2025,4675.46,103.32,87,Faulty,5.74
MTR0072,West,Residential,5/23/2025,1790.53,66.15,72,Active,8.62
MTR0073,West,Residential,8/21/2025,552.03,23.34,162,Faulty,5.39
MTR0074,South,Industrial,11/22/2025,2455.07,202.3,178,Faulty,6.11
MTR0075,West,Residential,7/6/2025,1321.04,46.35,36,Active,7.73
MTR0076,South,Residential,3/25/2025,1460.12,42.29,118,Active,6.56
MTR0077,North,Residential,7/9/2025,1571.09,151.09,56,Faulty,9.03
MTR0078,East,Commercial,7/1/2025,4024.98,43.46,7,Faulty,9.06
MTR0079,East,Commercial,4/18/2025,2718.85,271.35,94,Active,3.07
MTR0080,East,Industrial,12/10/2025,1590.97,112.82,116,Active,8.45
MTR0081,West,Residential,5/17/2025,3071.15,259.7,109,Faulty,6.23
MTR0082,North,Residential,12/26/2025,3594.95,131.27,19,Faulty,9.92
MTR0083,West,Industrial,12/16/2025,1399.49,15.8,123,Faulty,6.38
MTR0084,West,Residential,11/28/2025,2097.07,160.23,52,Faulty,9.91
MTR0085,North,Residential,2/6/2025,653.34,55.58,118,Faulty,8.28
MTR0086,North,Commercial,11/8/2025,946.69,72.56,11,Active,4.74
MTR0087,North,Industrial,11/22/2025,3421.53,78.2,176,Faulty,6.77
MTR0088,North,Industrial,3/29/2025,948.12,73.77,16,Faulty,9.94
MTR0089,East,Industrial,10/1/2025,2649.56,209.85,63,Active,9
MTR0090,Central,Industrial,5/6/2025,3559.78,246.58,41,Active,3.68
MTR0091,Central,Commercial,3/25/2025,579.04,45.72,93,Faulty,7.94
MTR0092,North,Commercial,8/25/2025,2858.2,246.19,156,Faulty,5.42
MTR0093,Central,Residential,7/14/2025,1319.99,86.1,146,Active,3.05
MTR0094,Central,Residential,5/19/2025,4816.49,86.57,10,Faulty,5.82
MTR0095,North,Residential,11/24/2025,2443.55,131.67,97,Faulty,4.64
MTR0096,Central,Residential,12/19/2025,4039.66,68.63,177,Active,8.73
MTR0097,West,Commercial,10/13/2025,2773.62,129.47,70,Faulty,5.36
MTR0098,South,Industrial,4/23/2025,264.89,12.35,107,Active,8.79
MTR0099,South,Commercial,12/17/2025,3184.1,50.76,57,Active,3
MTR0100,North,Residential,6/16/2025,4759.45,197.01,33,Active,5.15
MTR0101,East,Commercial,1/29/2025,3027.98,60.53,19,Active,4.69
MTR0102,North,Industrial,4/28/2025,4104.98,339.65,49,Faulty,4.63
MTR0103,East,Industrial,1/17/2025,4426.82,421.84,101,Active,3.48
MTR0104,South,Commercial,6/11/2025,1178.99,19.46,137,Faulty,4.31
MTR0105,North,Commercial,7/25/2025,1099.62,105.52,159,Faulty,6.89
MTR0106,West,Commercial,5/18/2025,3074.36,175.34,51,Faulty,5.04
MTR0107,Central,Residential,2/3/2025,2084.59,77.05,14,Faulty,5.92
MTR0108,East,Commercial,4/19/2025,4207.31,71.18,83,Faulty,5.64
MTR0109,Central,Commercial,10/18/2025,4505.11,248.03,130,Active,9.13
MTR0110,Central,Commercial,6/11/2025,1799.44,146.67,36,Active,9.34
MTR0111,North,Industrial,4/19/2025,1222.51,90.02,125,Active,6.45
MTR0112,Central,Industrial,12/2/2025,3913.6,56.83,39,Active,5.31
MTR0113,West,Residential,9/13/2025,1410.29,23.36,71,Faulty,3.75
MTR0114,Central,Residential,7/22/2025,4121.94,190.68,39,Active,9.67
MTR0115,North,Industrial,11/26/2025,2147.5,78.55,55,Faulty,3.42
MTR0116,West,Industrial,8/23/2025,3354.37,103.7,150,Faulty,5.08
MTR0117,South,Industrial,3/15/2025,522.9,18.45,103,Active,5.09
MTR0118,Central,Commercial,5/16/2025,3138.1,258.31,138,Active,5.24
MTR0119,North,Commercial,3/13/2025,2286.25,214.06,109,Active,4.15
MTR0120,South,Industrial,5/7/2025,2953.71,137.23,135,Active,8.48
MTR0121,South,Commercial,10/15/2025,881.67,80.72,92,Faulty,3.86
MTR0122,East,Commercial,10/3/2025,3697.53,143.96,93,Faulty,7.44
